59	Getting Started with Drupal 7	11237	http://cdn.dzone.com/sites/all/files/refcardz/rc59-Drupal-update_2.pdf	rc59-Drupal-update_2.pdf
60	Getting Started with Grails	11411	http://cdn.dzone.com/sites/all/files/refcardz/rc060-010d-getting-started-grails_2.pdf	rc060-010d-getting-started-grails_2.pdf
61	Core Java Concurrency	11507	http://cdn.dzone.com/sites/all/files/refcardz/rc061-010d-java_concurrency_1.pdf	rc061-010d-java_concurrency_1.pdf
62	Getting Started with Eclipse RCP	11739	http://cdn.dzone.com/sites/all/files/refcardz/rc062-010-eclipse_rcp_0.pdf	rc062-010-eclipse_rcp_0.pdf
63	Getting Started with Apache Wicket	11873	http://cdn.dzone.com/sites/all/files/refcardz/rc063-010d-apache_wicket_1.pdf	rc063-010d-apache_wicket_1.pdf
64	Core HTML	12006	http://cdn.dzone.com/sites/all/files/refcardz/rc064-010d-core_html_1.pdf	rc064-010d-core_html_1.pdf
65	ServiceMix 4.2: The Apache Open Source ESB	34673	http://cdn.dzone.com/sites/all/files/refcardz/rc065-010d-servicemix-update42_0.pdf	rc065-010d-servicemix-update42_0.pdf
66	Getting Started with ColdFusion 9	12236	http://cdn.dzone.com/sites/all/files/refcardz/rc066-010d-coldfusion9_2.pdf	rc066-010d-coldfusion9_2.pdf
67	Getting Started with Selenium	12353	http://cdn.dzone.com/sites/all/files/refcardz/rc067-010d-selenium-1.pdf	rc067-010d-selenium-1.pdf
68	Getting Started with Oracle Berkeley DB	12484	http://cdn.dzone.com/sites/all/files/refcardz/rc068-010-oracle-berkeley-db.pdf	rc068-010-oracle-berkeley-db.pdf
69	Getting Started with ASP.NET MVC 1.0	12637	http://cdn.dzone.com/sites/all/files/refcardz/rc069-010d-asp_net_mvc-1.pdf	rc069-010d-asp_net_mvc-1.pdf
70	Eclipse Plug-in Development	12742	http://cdn.dzone.com/sites/all/files/refcardz/rc070-010d-eclipse-plugin-dev_0.pdf	rc070-010d-eclipse-plugin-dev_0.pdf
71	Essential PostgreSQL	12841	http://cdn.dzone.com/sites/all/files/refcardz/rc071-010d-postgresql_0.pdf	rc071-010d-postgresql_0.pdf
72	Getting Started with Windows Presentation Foundation	12947	http://cdn.dzone.com/sites/all/files/refcardz/rc072-010d-wpf_0.pdf	rc072-010d-wpf_0.pdf
73	Getting Started with LiveCycle Data Services ES	13048	http://cdn.dzone.com/sites/all/files/refcardz/rc073-010d-lcds_0.pdf	rc073-010d-lcds_0.pdf
74	Agile Adoption: Improving Software Quality	13299	http://cdn.dzone.com/sites/all/files/refcardz/rc074-010d-agile_improve_quality.pdf	rc074-010d-agile_improve_quality.pdf
75	Getting Started with BlazeDS	13511	http://cdn.dzone.com/sites/all/files/refcardz/rc075-010d-blazeds_0.pdf	rc075-010d-blazeds_0.pdf
76	Getting Started with Domain-Driven Design	13745	http://cdn.dzone.com/sites/all/files/refcardz/rc076-010d-domain-driven-design_2.pdf	rc076-010d-domain-driven-design_2.pdf
77	Core WS-BPEL: Business Process Execution Language	14073	http://cdn.dzone.com/sites/all/files/refcardz/rc077-010d-bpel.pdf	rc077-010d-bpel.pdf
78	Getting Started with Virtualization	14883	http://cdn.dzone.com/sites/all/files/refcardz/rc078-010d-virtualization_1.pdf	rc078-010d-virtualization_1.pdf
79	Google App Engine for Java	15197	http://cdn.dzone.com/sites/all/files/refcardz/rc079-010d-google-app-engine-4.pdf	rc079-010d-google-app-engine-4.pdf
